Posición,Club,PUNTOS,DIF GOL,PARTIDOS JUGADOS,GANADOS,EMPATES,PERDIDOS,GOLES A FAVOR,GOLES ENCONTRA
1,Atlético Tucumán,34,11,18,9,7,2,20,9
2,Gimnasia y Esgrima La Plata,33,9,18,9,6,3,19,10
3,Huracán,32,9,18,8,8,2,22,13
4,Boca Juniors,32,2,18,10,2,6,24,22
5,Godoy Cruz Antonio Tomba,31,4,18,9,4,5,21,17
6,Argentinos Juniors,30,4,18,9,3,6,20,16
7,River Plate,29,12,18,8,5,5,27,15
8,Racing Club,28,9,18,7,7,4,24,15
9,Patronato de Parana,27,4,18,7,6,5,23,19
10,San Lorenzo de Almagro,26,5,18,5,11,2,23,18
11,Club Atlético Platense,26,3,18,6,8,4,17,14
12,Newell's Old Boys,26,1,18,7,5,6,17,16
13,Estudiantes de la Plata,26,0,18,7,5,6,17,17
14,Unión Santa Fe,26,-1,17,7,5,5,21,22
15,Tigre,23,2,18,5,8,5,25,23
16,Barracas Central,23,-6,18,6,5,7,20,26
17,Banfield,22,-1,18,5,7,6,17,18
18,Sarmiento,22,-4,18,6,4,8,18,22
19,Rosario Central,22,-4,18,6,4,8,14,18
20,CA Central Cordoba,21,-3,18,6,3,9,22,25
21,Arsenal de Sarandí,20,-2,18,3,11,4,18,20
22,Defensa y Justicia,19,-4,17,4,7,6,14,18
23,Independiente,18,-3,18,4,6,8,19,22
24,Colón Santa Fe,18,-7,18,4,6,8,15,22
25,Talleres de Cordoba,15,-4,16,3,6,7,12,16
26,Vélez Sarsfield,13,-6,18,1,10,7,19,25
27,Aldosivi,13,-17,18,3,4,11,11,28
28,Lanús,11,-13,18,2,5,11,15,28
